material_id,supplier_id,cost_per_unit,lead_time_days,moq,reliability_score,ordering_cost,holding_cost_rate
18306.0,MERIDIAN SPECIALTY YARN GROUP INC,2.8,4,1000,0.95,100.0,0.25
18712.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18787.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18988.0,OMARA TEXTILES,3.55,6,1000,0.95,100.0,0.25
18890.0,"EDPA USA, LLC",2.56,14,10000,0.95,100.0,0.25
18763.0,MUTU GADING TEKSTIL,1.13,14,10000,0.95,100.0,0.25
18785.0,VERTEX,8.12,14,10000,0.95,100.0,0.25
18594.0,VERTEX,5.21,14,10000,0.95,100.0,0.25
18290.0,UNIFI,5.1,8,1500,0.95,100.0,0.25
18706.0,"SPRINGS CREATIVE PRODUCTS GROUP, LLC",5.15,14,5000,0.95,100.0,0.25
18913.0,VERTEX,8.72,14,10000,0.95,100.0,0.25
18667.0,MERIDIAN SPECIALTY YARN GROUP INC,3.36,4,1000,0.95,100.0,0.25
18673.0,DECA GLOBAL,1.82,14,2500,0.95,100.0,0.25
18674.0,DECA GLOBAL,1.84,14,2500,0.95,100.0,0.25
18690.0,MINIFIBERS,4.15,8,2000,0.95,100.0,0.25
18900.0,PARKDALE YARN MILLS,3.58,8,2500,0.95,100.0,0.25
18737.0,MUTU GADING TEKSTIL,2.36,14,10000,0.95,100.0,0.25
18620.0,UNIFI,2.41,8,1500,0.95,100.0,0.25
18773.0,VERTEX,7.44,14,10000,0.95,100.0,0.25
18872.0,PARKDALE YARN MILLS,2.06,8,2500,0.95,100.0,0.25
18569.0,DECA GLOBAL,1.68,14,2500,0.95,100.0,0.25
18576.0,PARKDALE YARN MILLS,2.71,8,2500,0.95,100.0,0.25
14148.0,MERIDIAN SPECIALTY YARN GROUP INC,3.2,4,1000,0.95,100.0,0.25
18438.0,"BIELTEX, S.L.",1.15,14,10000,0.95,100.0,0.25
18426.0,DECA GLOBAL,2.53,14,2500,0.95,100.0,0.25
11999.0,UNIFI,3.91,8,1500,0.95,100.0,0.25
18334.0,"BIELTEX, S.L.",4.08,14,10000,0.95,100.0,0.25
