sku_id,material_id,quantity_per_unit
C1B4634A/1,18865,0.0897
C1B4637A/1,18233,0.1281
C1B4637A/1,18376,0.3126
C1B4637A/1,18414,0.3009
C1B4637A/1,18763,0.2006
C1B4637A/1,18865,0.0578
C1B4639A/1,18726,0.531
C1B4639A/1,18861,0.245
C1B4639A/1,19019,0.224
C1B4654AA/1,18575,0.279
C1B4654AA/1,18576,0.427
C1B4654AA/1,18826,0.281
C1B4654AA/1,18929,0.013
C1B4654AA/12S,18575,0.279
C1B4654AA/12S,18576,0.427
C1B4654AA/12S,18929,0.013
C1B4654AA/12S,19050,0.281
C1B4679A/1,18454,0.1492
C1B4679A/1,18569,0.1555
C1B4679A/1,18576,0.5461
C1B4679A/1,18819,0.1492
C2B3237/3B,18086,0.173
C2B3237/3B,18229,0.064
C2B3237/3B,18414,0.48
C2B3237/3B,18646,0.277
C2B3237/3B,18929,0.006
C5T4522A/1D,11759,0.104
C5T4522A/1D,18376,0.224
C5T4522A/1D,18763,0.288
C5T4522A/1D,18873,0.271
C5T4522A/1D,18896,0.104
C5T4522A/1D,18929,0.009
C718/0,18982,0.783
C718/0,18983,0.217
CEE4078/2,12526,0.116
CEE4078/2,18208,0.101
CEE4078/2,18594,0.385
CEE4078/2,18646,0.107
CEE4078/2,18763,0.231
CEE4078/2,18865,0.053
CEE4078/2,18929,0.007
CEE4317A/1L,18164,0.112
CEE4317A/1L,18376,0.132
CEE4317A/1L,18598,0.112
CEE4317A/1L,18646,0.112
CEE4317A/1L,18763,0.524
CEE4317A/1L,18929,0.008
CEE4638A/1,12047,0.163
CEE4638A/1,12526,0.376
CEE4638A/1,18553,0.207
CEE4638A/1,18646,0.082
CEE4638A/1,18679,0.121
CEE4638A/1,18929,0.013
CEE4638A/1,18966,0.038
CEE4674A/1,18376,0.0598
CEE4674A/1,18594,0.1013
CEE4674A/1,18646,0.1013
CEE4674A/1,18725,0.1607
CEE4674A/1,18763,0.4675
CEE4674A/1,18894,0.1013
CEE4674A/1,18929,0.0081
CEE4677A/1,18376,0.0661
CEE4677A/1,18690,0.112
CEE4677A/1,18725,0.112
CEE4677A/1,18763,0.5061
CEE4677A/1,18865,0.0829
CEE4677A/1,18894,0.112
CEE4677A/1,18929,0.009
CEE4681A/1,18569,0.0436
CEE4681A/1,18937,0.3139
CEE4681A/1,18939,0.3028
CEE4681A/1,18941,0.3397
CEE4682A/1,18569,0.0436
CEE4682A/1,18937,0.3139
CEE4682A/1,18939,0.3028
CEE4682A/1,18941,0.3397
CEE4683A/1,18569,0.0436
CEE4683A/1,18937,0.3139
CEE4683A/1,18939,0.3028
CEE4683A/1,18941,0.3397
CEE4687A/1,18232,0.5995
CEE4687A/1,18376,0.2002
CEE4687A/1,18868,0.2002
CEE4688A/1,18232,0.5995
CEE4688A/1,18376,0.2002
CEE4688A/1,18868,0.2002
CF5092/1,18845,1.0
CF5127/U,18526,0.713
CF5127/U,18865,0.287
CF5128/0,18228,0.279
CF5128/0,18526,0.721
CF5261/STR,18903,1.0
CF5321/F1925,18517,0.847
CF5321/F1925,18974,0.153
CF5321/JAN9,18517,0.847
CF5321/JAN9,18974,0.153
CF5405/0,13561,0.027
CF5405/0,18811,0.973
CF5424/0,13561,0.015
CF5424/0,18573,0.453
CF5424/0,18804,0.532
CF5432/0,13561,0.02
CF5432/0,18573,0.207
CF5432/0,18732,0.268
CF5432/0,18804,0.505
CF5433/0,13561,0.022
CF5433/0,18795,0.444
CF5433/0,18804,0.534
CF5434/0,13561,0.021
CF5434/0,18573,0.218
CF5434/0,18804,0.761
CF5439/0,18811,0.5
CF5439/0,18813,0.5
CF5439/BKT2,18811,0.5
CF5439/BKT2,18813,0.5
CF5446/0,13794,0.292
CF5446/0,18573,0.204
CF5446/0,18732,0.288
CF5446/0,18763,0.216
CF5451/0,13561,0.033
CF5451/0,18774,0.967
CF5461/1,13561,0.029
CF5461/1,14242,0.327
CF5461/1,18419,0.207
CF5461/1,18573,0.437
CF5461/2,13561,0.029
CF5461/2,14242,0.327
CF5461/2,18024,0.207
CF5461/2,18573,0.437
CF5462/0,18334,0.163
CF5462/0,18573,0.826
CF5462/0,18599,0.011
CF5463/0,13561,0.017
CF5463/0,14223,0.536
CF5463/0,18573,0.447
CF5464/0,13545,0.016
CF5464/0,18774,0.984
CF5466/0,19043,1.0
CF5474/0,18771,1.0
CF5482/0,13545,0.183
CF5482/0,18415,0.817
CF5487/0,13561,0.017
CF5487/0,18573,0.66
CF5487/0,19031,0.323
CF5488/0,13545,0.175
CF5488/0,18415,0.825
CF5489/A,13561,0.0726
CF5489/A,18865,0.9275
CF5489/B,13561,0.0761
CF5489/B,18865,0.9238
CF5489/C,13561,0.0728
CF5489/C,18865,0.9273
CF5490/A,13561,0.03
CF5490/A,18575,0.97
CF5490/B,13561,0.0301
CF5490/B,18575,0.9699
CF5490/C,13561,0.0301
CF5490/C,18575,0.9699
CF5491/0,9296,0.7626
CF5491/0,12150,0.2372
CF5492/0,9296,0.2727
CF5493/0,9296,1.0
CK3013Q-14/0,18991,1.0
CK3013Q14L/0,18991,1.0
CK309T-14/0,18991,1.0
CK309T-14L/0,18991,1.0
CK309T-16/0,18975,0.431
CK309T-16/0,18991,0.569
CK309T-18/0,18975,1.0
CK309T14L/0,18991,1.0
CK3813K-14/0,18991,1.0
CK3813K14L/0,18991,1.0
CMR4649A/1,12066,0.0192
CMR4649A/1,12243,0.0397
CMR4649A/1,18426,0.9411
CMR4659A/1,12243,0.0371
CMR4659A/1,14895,0.0273
CMR4659A/1,18426,0.9356
CSP4479A/1M,11759,0.385
CSP4479A/1M,18285,0.198
CSP4479A/1M,18376,0.234
CSP4479A/1M,18469,0.183
CT0246/0,11344,0.859
CT0246/0,13560,0.141
CT2155/1UU,18865,1.0
CT22150/1BA,12526,0.649
CT22150/1BA,18646,0.351
CT3085/1K,18376,0.438
CT3085/1K,18763,0.281
CT3085/1K,18865,0.09
CT3085/1K,19049,0.191
DFF446J/B,18884,1.0
FAB310-40/0,18659,1.0
FF 10008/0005C,11697,0.018
FF 10008/0005C,11759,0.028
FF 10008/0005C,18343,0.322
FF 10008/0009A,11697,0.018
FF 10008/0009A,11759,0.028
FF 10008/0009A,18414,0.322
FF 10008/0010C,11697,0.018
FF 10008/0010C,11759,0.028
FF 10008/0010C,18414,0.322
FF 10008/0011C,11697,0.018
FF 10008/0011C,11759,0.028
FF 10008/0011C,18414,0.322
FF 10008/0014C,11697,0.018
FF 10008/0014C,11759,0.028
FF 10008/0014C,18414,0.322
FF25002/0008A,14061,0.012
JB38/2,18703,1.0
JC24/1,7716,1.0
JC24/4,19045,1.0
KBDU600K/0,18850,0.5
KBDU600K/0,18863,0.5
KBDU602C/0,18851,0.5
KBDU602C/0,18864,0.5
