material_id,supplier_id,cost_per_unit,lead_time_days,moq,reliability_score,supplier_type
18426,10,2.53,14.0,2500.0,0.85,Import
11999,36,3.91,8.0,1500.0,0.85,Domestic
18334,5,4.08,14.0,10000.0,0.85,Import
18564,38,40.51,8.0,100.0,0.94,
18564,39,31.24,20.0,1000.0,0.93,
18564,40,9.13,25.0,1000.0,0.91,
18884,41,35.39,13.0,1000.0,0.98,
18884,42,48.5,15.0,500.0,0.91,
18659,44,26.97,9.0,100.0,0.91,
18659,45,40.78,23.0,100.0,0.94,
18659,46,42.79,7.0,100.0,0.89,
18019,47,30.11,8.0,500.0,0.87,
18019,48,42.38,9.0,1000.0,0.96,
18707,50,6.57,13.0,100.0,0.85,
18707,51,7.98,9.0,200.0,0.97,
18707,52,16.66,20.0,1000.0,0.88,
18941,53,26.06,11.0,200.0,0.93,
18941,54,49.51,8.0,1000.0,0.9,
18941,55,44.82,26.0,200.0,0.92,
13561,56,12.21,22.0,100.0,0.89,
13561,57,13.8,14.0,1000.0,0.86,
13561,58,49.89,29.0,100.0,0.89,
11409,59,47.6,19.0,500.0,0.87,
18703,62,26.76,8.0,500.0,0.88,
18703,63,42.63,25.0,1000.0,0.85,
18703,64,9.49,10.0,1000.0,0.91,
18829,65,32.89,30.0,500.0,0.86,
18929,68,31.53,17.0,500.0,0.89,
18929,69,39.29,26.0,100.0,0.86,
18975,71,15.0,8.0,100.0,0.93,
18975,72,21.15,26.0,500.0,0.93,
18387,74,21.41,28.0,200.0,0.86,
18387,75,22.81,25.0,1000.0,0.88,
19043,77,27.75,11.0,500.0,0.91,
19043,78,22.3,22.0,1000.0,0.89,
18813,80,44.12,27.0,100.0,0.91,
18813,81,40.12,11.0,100.0,0.95,
18669,83,41.26,8.0,100.0,0.92,
18669,84,9.68,7.0,100.0,0.89,
12243,86,45.4,13.0,100.0,0.91,
12243,87,35.2,14.0,200.0,0.97,
18811,89,41.54,26.0,500.0,0.87,
18811,90,42.51,10.0,200.0,0.91,
18811,91,14.09,7.0,1000.0,0.93,
10795,92,21.4,27.0,1000.0,0.88,
10795,93,45.7,21.0,500.0,0.98,
10795,94,27.76,17.0,1000.0,0.87,
18344,95,35.27,26.0,200.0,0.94,
18344,96,17.98,11.0,500.0,0.97,
18344,97,17.46,11.0,1000.0,0.96,
10027,98,21.5,18.0,1000.0,0.91,
10027,99,45.83,28.0,500.0,0.88,
10027,100,48.7,22.0,1000.0,0.86,
18419,101,9.18,27.0,500.0,0.9,
18419,102,23.66,20.0,200.0,0.96,
18419,103,37.03,26.0,1000.0,0.88,
18873,104,33.27,13.0,200.0,0.91,
18873,105,11.14,18.0,200.0,0.92,
18850,107,43.45,21.0,500.0,0.96,
18850,108,6.38,30.0,1000.0,0.95,
9296,110,13.8,18.0,1000.0,0.97,
9296,111,31.21,7.0,100.0,0.9,
12066,113,20.68,15.0,200.0,0.95,
12066,114,48.41,13.0,1000.0,0.92,
18415,116,41.26,22.0,1000.0,0.89,
18804,119,13.91,21.0,500.0,0.97,
18708,122,45.97,15.0,200.0,0.92,
18708,123,33.04,10.0,200.0,0.91,
19060,125,6.27,9.0,500.0,0.86,
19060,126,46.88,25.0,500.0,0.92,
18870,128,28.34,11.0,200.0,0.86,
18870,129,27.78,7.0,200.0,0.92,
18870,130,19.35,11.0,100.0,0.91,
18983,131,34.54,27.0,100.0,0.92,
18983,132,16.29,10.0,1000.0,0.89,
18983,133,26.46,29.0,100.0,0.97,
13560,134,25.09,25.0,100.0,0.92,
13560,135,46.92,21.0,200.0,0.9,
13560,136,8.07,18.0,500.0,0.87,
19045,137,14.61,23.0,500.0,0.98,
19045,138,32.66,10.0,1000.0,0.97,
18575,140,9.61,10.0,100.0,0.9,
18575,141,23.68,10.0,100.0,0.86,
18575,142,7.81,16.0,1000.0,0.96,
18896,143,34.38,25.0,200.0,0.97,
18974,146,33.19,29.0,1000.0,0.9,
18974,147,43.08,22.0,200.0,0.85,
18974,148,32.02,12.0,200.0,0.89,
10153,149,46.17,12.0,100.0,0.85,
13794,152,34.44,11.0,200.0,0.93,
13794,153,46.95,17.0,100.0,0.91,
13794,154,8.68,26.0,1000.0,0.98,
14223,155,18.97,12.0,500.0,0.92,
14223,156,24.88,7.0,1000.0,0.93,
14223,157,35.94,7.0,100.0,0.87,
18696,158,45.59,13.0,1000.0,0.86,
18767,161,28.66,24.0,100.0,0.87,
18645,164,13.25,8.0,1000.0,0.87,
18024,167,36.66,25.0,500.0,0.99,
18869,170,22.73,18.0,200.0,0.91,
18320,173,9.1,22.0,500.0,0.85,
18573,176,38.49,26.0,200.0,0.92,
18573,177,17.66,12.0,500.0,0.89,
18573,178,11.74,11.0,100.0,0.9,
19049,179,48.13,22.0,500.0,0.85,
18991,182,29.5,29.0,200.0,0.93,
18991,183,24.54,23.0,1000.0,0.95,
18991,184,7.81,26.0,1000.0,0.95,
14061,185,19.09,13.0,1000.0,0.91,
18864,188,47.9,13.0,1000.0,0.92,
12150,191,44.17,27.0,100.0,0.97,
12150,192,41.3,26.0,1000.0,0.95,
18758,194,6.82,11.0,200.0,0.88,
18851,197,19.52,29.0,500.0,0.9,
18795,200,28.73,19.0,1000.0,0.87,
19050,203,10.16,21.0,200.0,0.92,
11697,206,24.78,13.0,500.0,0.99,
11697,207,28.42,19.0,1000.0,0.88,
11697,208,45.67,24.0,100.0,0.86,
18599,209,37.62,20.0,200.0,0.88,
18599,210,17.05,7.0,500.0,0.93,
18526,212,43.41,17.0,500.0,0.96,
18526,213,7.32,30.0,500.0,0.93,
18526,214,37.34,20.0,1000.0,0.97,
14895,215,16.34,19.0,100.0,0.9,
14895,216,43.62,28.0,500.0,0.88,
19019,218,8.49,23.0,100.0,0.85,
19019,219,35.08,21.0,200.0,0.95,
19019,220,44.94,15.0,1000.0,0.88,
11759,221,24.18,15.0,200.0,0.95,
11759,222,28.19,29.0,500.0,0.94,
11759,223,9.85,21.0,200.0,0.94,
18341,224,38.43,24.0,100.0,0.98,
13545,227,33.85,15.0,100.0,0.97,
13545,228,49.67,30.0,500.0,0.91,
18861,230,30.89,26.0,200.0,0.89,
19054,233,36.45,13.0,500.0,0.98,
10995,236,16.32,21.0,100.0,0.93,
18982,239,37.45,27.0,1000.0,0.88,
19031,242,26.65,23.0,500.0,0.89,
18771,245,23.8,13.0,500.0,0.9,
18771,246,24.57,15.0,200.0,0.87,
18771,247,16.21,18.0,100.0,0.97,
18770,248,16.05,12.0,100.0,0.85,
18770,249,16.5,16.0,1000.0,0.88,
18770,250,11.8,10.0,100.0,0.86,
18732,251,11.62,7.0,200.0,0.85,
18646,254,31.05,26.0,500.0,0.89,
18646,255,21.45,16.0,200.0,0.94,
18646,256,46.82,20.0,1000.0,0.98,
18863,257,10.65,13.0,1000.0,0.92,
18863,258,39.0,15.0,500.0,0.91,
14242,260,34.58,25.0,1000.0,0.89,
14242,261,38.16,25.0,200.0,0.88,
11896,263,16.81,22.0,500.0,0.93,
18928,266,46.96,13.0,1000.0,0.91,
18928,267,20.43,28.0,200.0,0.93,
18774,269,42.45,30.0,1000.0,0.97,
18774,270,20.71,8.0,200.0,0.88,
19057,272,37.8,18.0,100.0,0.94,
19057,273,38.33,30.0,100.0,0.94,
18903,275,36.24,20.0,500.0,0.85,
18903,276,14.25,16.0,1000.0,0.87,
18903,277,17.0,10.0,200.0,0.94,
9863,278,39.34,16.0,200.0,0.94,
9863,279,36.31,24.0,200.0,0.93,
9863,280,30.25,11.0,200.0,0.91,
